term_en,description_english,description_arabic,term_arabic
CRIMINAL SUMMONS,An order commanding an accused to appear in court.,استدعاء جنائي - أمر من المحكمة للمتهم بالحضور في المحكمة.,استدعاء جنائي
CROSS-CLAIM,A claim filed by defendant(s) or plaintiff(s) against each other.,دعوى صليبية - دعوى يقيمها المدعى عليه أو المدعي ضد بعضهم.,دعوى صليبية
CROSS-EXAMINATION,When the other side's lawyer asks a witness questions in a hearing or trial.,معاينة الفاصل - العملية التي يطرح فيها محامي الطرف الآخر الأسئلة على الشاهد في جلسة استماع أو محاكمة.,معاينة الفاصل
CUMULATIVE SENTENCES,"Sentences for two or more crimes to run consecutively, rather than concurrently. (See CONCURRENT SENTENCES AND CONSECUTIVE SENTENCES)",أحكام مجمعة - أحكام لأكثر من جريمة تُنفذ بشكل تتابعي، بدلًا من تنفيذها بالتزامن. (انظر: الأحكام المتزامنة والأحكام التتابعية.),أحكام مجمعة
CUSTODIAL PARENT,"The parent that has primary care, custody, and control of the child(ren).",أحد الوالدين الذي له الحضانة - أحد الوالدين الذي له العناية الأولى والحضانة والسيطرة على الطفل أو الأطفال.,أحد الوالدين الذي له الحضانة
CUSTODY,(1) When someone is under the physical control of the court to make sure they go to court when they're supposed to; (2) when the judge sends a person to jail after they are found guilty of a crime; (3) the care and control of children.,حفظة - (1) وجود شخص تحت نفوذ المحكمة حتى يضمن حضوره للمحكمة عند اللزوم؛ (2) عندما يرسل القاضي شخصًا إلى السجن بعد إدانته بجريمة؛ (3) رعاية وسيطرة الأطفال.,حفظة
NOLO CONTENDERE,"Same as pleading guilty, except that your plea cannot be used against you in civil court. This can only be used in traffic or criminal court. From the Latin for ""I do not wish to contend.""","""لا يناقض"" - معناه نفس الإقرار بالذنب، إلا أن الاعتراف لا يمكن استخدامه ضدك في المحكمة المدنية، ويمكن استخدامه فقط في المحكمة الجنائية أو المرورية. من اللاتينية التي تعني ""لا أرغب في الجدال"".",لا يناقض
NOMINAL PARTY,One who is joined as a party or defendant merely because the technical rules of pleading require his presence in the record.,طرف شكلي. يُضم شخص إلى الدعوى كطرف أو مدعى عليه لمجرد أن القواعد التقنية للإدعاء تتطلب وجوده في السجل.,طرف شكلي
NON COMPOS MENTIS,Not of sound mind; insane.,غير سليم عقلياً; مجنون.,غير سليم عقلياً
NON-CAPITAL CASE,A criminal case in which the allowable penalty does not include death.,قضية جزائية لا تشمل عقوبتها الإعدام.,قضية غير إعدامية
NON EST INVENTUS,A return of process when the sheriff could not find the person who is to be served. Latin meaning “not to be found.”,لا يمكن العثور عليه - يُعاد إجراء عندما لا يتمكن الشريف من العثور على الشخص الذي يُفترض أن يُقدم إليه.,لا يمكن العثور عليه
NON OBSTANTE VERDICTO,A verdict entered by the judge contrary to a jury’s verdict.,حكم رغم الأحكام الأخرى التي تخالف حكم هيئة المحلفين.,حكم رغم الأحكام الأخرى
NONSUIT,"The name of a judgment given against a plaintiff when he is unable to prove a case, or when he refuses or neglects to proceed to trial and leaves the issue undetermined.",براءة بسبب - تحالف أو حكم يُعطى ضد المدعي عندما يعجز عن إثبات القضية أو عندما يرفض أو يهمل متابعة,براءة بسبب
NOT GUILTY,The form of verdict in criminal cases where the jury acquits the defendant.,غير مذنب - الصيغة التي تبرئ الجندي المتهم في القضايا الجنائية.,غير مذنب
NOT GUILTY BY REASON OF INSANITY,"The jury or the judge must determine that the defendant, because of mental disease or defect, could not commit the offence.",غير مذنب بسبب الجنون - يجب أن يقرر المحلّفون أو القاضي أن المتهم، بسبب مرض نفسي أو خلل، لم يرتكب العمل.,غير مذنب بسبب الجنون
NOTARY PUBLIC,"A person authorized to certify a person's signature, administer oaths, certify that documents are authentic, and take depositions.",كاتب العدل - شخص معتمد لتصديق توقيعات الأفراد، وتحليف اليمين القانونية، وتصديق أن الوثائق أصلية.,كاتب العدل
NOTICE,"Written information or warning. For example, a notice to the other side that you will make a motion in court on a certain date.",إخطار، رسالة مكتوبة تحذيرية أو بلاغ. مثلاً: إخطار للطرف الآخر يبلغه أنك ستتقدم بطلب في المحكمة في تاريخ معين.,إخطار
NOTICE OF MOTION,"A notice to the opposing party, that on a certain date a motion will be made in court.",إخطار بطلب - إخطار للطرف الآخر أنه في تاريخ معين، سيتم تقديم طلب في المحكمة.,إخطار بطلب
NOTICE TO PRODUCE,"A notice in writing requiring the opposite party to produce a certain described paper or document at the trial, or in the course of pre-trial discovery.",طلب إبراز وثيقة - طلب كتابي يطلب من الطرف الآخر إحضار وثيقة معينة أو وثائق بيان في موعد المحاكمة.,طلب إبراز وثيقة
DOMICILE,"The place where a person has his or her permanent legal home. A person may have several residences, but only one domicile.",موطن - الكان الذي ينشأ فيه شخص مقرا دائما له ويمكن أن يكون لشخص مساكن متعددة، ولكنه في حق الواقع يمكن أن يكون له موطن واحد.,موطن
DOUBLE JEOPARDY,The constitutional prohibition under the Fifth Amendment against a person being put on trial more than once for the same offense.,خطر مزدوج - الحظر الدستوري بموجب التعديل الخامس ضد محاكمة الشخص أكثر من مرة في جناية واحدة.,خطر مزدوج
DRIVE-BY MURDER,"Murder perpetrated by means of discharging a firearm from a motor vehicle intentionally at another person outside of the vehicle. When the perpetrator specifically intended to inflict death, the murder is of the first degree.",إراكاب جريمة قتل من سيارة - جريمة قتل يرتكبها شخص بإطلاق النار على شخص آخر عمدا من سيارة نارية. عندما ينوي الجاني أيقاع الحتف بالشخص الآخر فإن القتل كان عته قتلًا من الدرجة الأولى.,إرتكاب جريمة قتل من سيارة
DRIVING WHILE INTOXICATED (DWI),"The unlawful operation of a motor vehicle under the influence of drugs or alcohol. In some jurisdictions it is synonymous with DRIVING UNDER THE INFLUENCE (DUI), but in others, driving while intoxicated is a more serious offense than driving under the influence.",قيادة سيارة أثناء تأثر العقل بالمسكر - قيادة سيارة بصورة غير شرعية أثناء تأثر العقل بمسكر أو بمواد مخدرة. في بعض الولايات يعادل هذا الأخير قيادة سيارة والسائق تحت تأثير مادة قارفة ألي، إن في بعض ملناطق تعتبر جريمة قيادة السيارة أثناء تأثر العقل بمسكر جريمة أولى عن قيادة السيارة والسائق تحت تاثير.,قيادة سيارة أثناء تأثر العقل بالمسكر
DRUNK DRIVING,The operation of a vehicle in an impaired state after consuming alcohol that when tested is above the state’s legal alcohol limit.,قيادة السيارة بحالة سكر - تشغيل مركبة بحالة يكون فيها السائق قد تعاطى الكحول بشكل يفوق الحد القانوني المسموح به في الولاية عند فحصه.,قيادة السيارة بحالة سكر
DUE PROCESS OF LAW,"The regular way that the law is administered through the courts. The U.S. Constitution says that everyone has to have a day in court, has the right to be represented by a lawyer, and the right to benefit from court procedures that are speedy, fair, and impartial.",إجراءات الاستئناف الأصولية - استمرار القوانين بطريقة نظامية بواسطة المحاكم. تنص الدستور الأمريكي على أن لكل شخص يوم بالمحكمة، وله حق بأن يمثله محام، وله حق بالانتفاع بإجراءات المحكمة السريعة والإنصاف والحياد.,إجراءات الاستئناف الأصولية
DURESS,Consists in any illegal imprisonment or threats of bodily harm in order to coerce the will of another and inducing him to do an act contrary to his free will.,الإكراه – يتألف من أية حالة احتجاز غير مشروع أو تهديد بإيقاع آذى جسدي بهدف الضغط على إرادة شخص آخر جى أداء فعل يتعارض مع إرادته الحرة.,الإكراه
EASEMENTS,A right of use over the property of another.,حقوق انتفاع – استخدام ملك شخص آخر.,حقوق الانتفاع
ELEAZER MOTION,A motion to require prosecution to disclose the whereabouts of an informant or show that reasonable effort has been made to locate him.,قانون هيئات الأمن، أن يكافأ عن عن عتب وجود الشخص المخبر أنه قد أبذل جهد معقل لإيجاده.,المخبر
ELECTRONIC MONITORING,"Use of an electronic device to keep an eye on where a sentenced person is in the community and to restrict his or her activities, instead of putting the person in jail. (See also HOME MONITORING.)",وسيلة الرقابة الإلكترونية - استعمال الآلات الإلكترونية لرقابة تنقل نظرًا للشخص المحكوم عليه بالعيش بين السكان، بدلا من وضعه داخل السجن (انظر أيضا: رقابة منزلية).,
وسيلة الرقابة الإلكترونية,,,
ELECTRONIC TECHNOLOGY,"includes, but is not limited to computer memory, magnetic media, optical disk, facsimile machine, or telephone.",تقنية الكترونية - تشتمل، ولا تقتصر على، ذاكرة الكمبيوتر، الأنظمة الحمناطقية، الأقراص البصرية، آلة الفاكس، أو الهاتف.,تقنية الكترونية
BENEFIT OF THE BARGAIN RULE,Rule which provides that a person may recover the difference...,قاعدة منافع المساومة...,قاعدة منافع المساومة
BEQUEATH,To leave someone something in a will.,يورث – يترك لشخص شيئاً في وصيته.,يورث
BEQUESTS,What you leave someone in a will.,تركة – ما تتركه لشخص في وصيتك.,تركة
BEST EVIDENCE,Primary proof; the best proof available...,أفضل دليل – الدليل الأبرز والأصح مما...,أفضل دليل
BEYOND A REASONABLE DOUBT,The burden of proof in a criminal case requiring that the jury...,لا شك معقول متبق – عبء الإثبات في قضية...,لا شك معقول متبق
BIAS,A pre-conceived opinion or a predisposition...,اعوجاج – فكر مسبق أو استعداد مسبق...,اعوجاج
BIFURCATE,"To try issues separately, such as guilt and criminal responsibility in a criminal proceeding...",يفصل مناقشة قضايا المسائل القانونية,يفصل
BIFURCATION MOTION,A request to change the order in which issues are heard at trial.,طلب تفصيل – طلب لتغيير ترتيب بحث...,طلب تفصيل
BILL OF PARTICULARS,A statement of the details of the charge made against the defendant.,بيان تفاصيل الاتهام – بيان يشرح أجزاء...,بيان تفاصيل الاتهام
BIND,To make yourself or someone else legally responsible for something.,ربط – تحمل نفسك أو شخصاً آخر المسؤولية...,ربط
BIND OVER,A judge’s decision before a trial that says there is enough evidence for a trial.,قرار ملزم – قرار قاضى قبل المحاكمة بأن...,قرار ملزم
BLOOD-ALCOHOL CONTENT (BAC),The measurement of grams of alcohol per 100 milliliters of blood or grams of alcohol...,نسبة الكحول في الدم – قياس الكحول في...,نسبة الكحول في الدم
BLOOD TEST,Testing someone's blood sample to: (1) see how much...,فحص دم – أخذ عينة دم لغرض...(1),فحص دم
BODY ATTACHMENT,A written order issued by a court directing...,صور خطية – أمر خطي صادر عن المحكمة...,صور خطية
TRANSITORY,Actions that might have taken place anywhere.,مؤقت - حيث يمكن بيان التي أي مكان.,مؤقت
TRAVERSE,"In common law pleading, a denial. Where a defendant denies any material allegation of fact in the plaintiff’s declaration.",يمك - الكاف الأدلة التي أنكر بنك التصدير غيرها أيضًا أثباتاً أساسياً بموجب طرف من الأطراف.,يمك
TRESPASSING,"Unlawful interference with one’s person, property and rights.",سوء الإصابات الجسدية - تدخل غير مبرر في حقوق بقية شخص بالغ.,سوء الإصابات الجسدية
TRIAL,A court process in which the issues of fact and law are heard and decided according to legal procedures so a judicial officer or jury can make a decision.,محاكمة - المحكمة التي تعقد فيها قضايا النزاع القانوني والقانونية التقاضي وفقا لإجراءات قضائية تتناول المحكمة لتصدر قرارًا في مثل تصريحات الجرائح الزاع أو الجنسي.,محاكمة
TRIAL DE NOVO,A new trial or retrial held in an appellate court in which the whole case is heard as if no trial had been heard in the lower court or administrative agency.,محاكمة جديدة - محاكمة جديدة أو نظر مجددًا، يعاد في المحكمة التي تكون الكتابات جرت وفقاً تبدأ محاكمة جديدة، وكأنما لم يُعقد محكمة واحدة أو نفي في نوع.,محاكمة جديدة
TRIAL COURT,"The first court to consider a case, generally the superior court. Compare APPELLATE COURT.",محكمة التحريض - المحكمة التي أول نظر تقل للقضية الأولي، في التأكيد على المحكمة العليا. تقارن بـ محكمة الإستئناف.,محكمة التحريض
"TRIAL, COURT (BENCH)",A trial where the jury is waived and the case is seen before the judge alone.,محكمة بالمقاعد - محكمة يتنازل فيها عن هيئة المحلفين وتعرض القضية أمام القاضي فقط.,محكمة بالمقاعد
"TRIAL, SPEEDY","The Sixth Amendment of the Constitution guarantees the accused to an immediate trial in accordance with prevailing rules, regulations and procedures of law.",محاكمة عاجلة - توفر التعديل السادس من دستور الأمريكى حق المتهم السريعة بمحاكمة بالنظم يرجع بدء المحاكمة والتنظيمات وإجراءات القانون.,محاكمة عاجلة
TRIAL STATUS/SETTING CONFERENCE,See PRETRIAL SENTENCE.,رفع الحالة أو إعداد جلسة تحديث - أنظر الكلم الأصلي المسبقة.,رفع الحالة أو إعداد جلسة تحديث
TRIER OF FACT,"Term includes the jury or the judge in a jury-waived trial, who have the obligation to make finding of fact rather than rulings of law.",تاجم الحقائق - يجبحة أن هيئة النصف في جلسه لمصلحة أم لا أن الألتفاق في يحكم بدون هيئة الملفونين، يتبع الإلتزام بأيجاد الحقائق ردين الأنصاف القانونية.,تاجم الحقائق
TRO,See TEMPORARY RESTRAINING ORDER.,أنظر إلى أمر تقييدي مؤقت.,أنظر إلى أمر تقييدي مؤقت
TROMBETTA MOTION,A motion to suppress evidence for failure to preserve the same.,طلب ترومبيتا - طلب بطريق لنس أدلة الضرر الذي نجم خطأ.,طلب ترومبيتا
TRUE BILL,The endorsement made by a grand jury on a bill of indictment when it finds sufficient evidence for trial on the charge alleged.,أصلي ص - تصديق حقيقي من جهة الكبرى على أهم مباحث نحيل عندما نهته كمية كافية إلى المحاكمة.,أصلي ص
RIOT,A public disturbance involving acts of violence by persons where three or more persons are gathered.,شغب - أعمال عنف يقوم بها أشخاص عندما يتجمع ثلاثة أشخاص فأكثر.,شغب
ROBBERY,"The act of taking money, personal property, or any other article of value that is in the possession of another by means of force or fear.",سرقة عن طريق القوة,سطو
ROUT,"Two or more persons, assembled and acting together, making any attempt or advance toward the commission of an act which would be a riot if actually committed.",تجمهر وعراك جماعي - التجمهر أو الخروج بأكثر من شخص مع محاولة تنفيذ عمل غن كان فعليًا سيعد شغبًا.,تجمهر وعراك جماعي
RULE,"An established standard, guide, or regulation.",قاعدة أو معيار أو تعليمات معينة: دليل أو تعليم!,قاعدة
RULE OF COURT,"An order made by a court having competent jurisdiction. Rules of court are either general or special; the former are the regulations by which the practice of the court is governed, the latter are special orders made in particular cases.",أمر صادر عن محكمة - أمر صادر عن محكمة لها الاختصاص القضائي. القواعد العائدة للأحكام، إما عامة أو خاصة. العامة تحدد أسلوب المحكمة. أما الخاصة فقد تكون أوامر خاصة بحالات معينة.,أمر صادر عن محكمة
RULES OF EVIDENCE,Standards governing whether information can be admitted and considered in a civil or criminal case.,قبل إسترشاد الأدلة - الأدلة التي تعتمد في القضايا المدنية أو الجنائية التي تحكم قبول الإثباتات في قضية معينة أو جلية.,قبل إسترشاد الأدلة
SANCTION,"A financial punishment meant to make someone toe the law. For example, a judge can order someone to pay for not following court orders.",عقوبة مالية - عقوبة مالية الغرض منها جعل شخص ما يتبع القانون. مثلا يمكن للقاضي أن يأمر شخصًا بدفع غرامة المحكمة.,عقوبة مالية
SATISFACTION OF JUDGMENT,Payment of a judgment amount by the losing party.,الأيفاء بالحكم - دفع حكم المحاكمة إلى الطرف الآخر,الأيفاء بالحكم
SEALING,"The closure of court records to inspection, except to the parties.",ختم السجلات القضائية - ختم سجلات المحكمة لغرض التفتيش رغم أن الأطراف المعنية,ختم السجلات القضائية
SEARCH AND SEIZURE,A person or place is searched and evidence useful in the investigation and prosecution of a crime is taken. The search is conducted after an order is issued by a judge.,التفتيش والحجز - عملية تفتيش لشخص أو مكان بأمر القاضي، الغرض منها التحفظ على أدلة مفتاحية للتحقيق.,التفتيش والحجز
SEARCH WARRANT,An order that tells the police to search a specific place to find specific people or things. A judge can order a search warrant if there is probable cause.,مذكرة تفتيش - أمر القاضي الذي يأمر الشرطة بتفتيش مكان لأيجاد شخص محدد أو أشياء. لا بد من وجود سبب محتمل لصدور المذكرة.,مذكرة تفتيش
SECURED DEBT,"In bankruptcy proceedings, a debt is secured if the debtor gave the creditor a right to repossess the property or goods used as collateral.",دين مضمون - في قضايا الأفلاس، الدين مضمون إذا منح المديون الدائن الحق في استعادة العقار أو البضائع المستخدمة كضمانة.,دين مضمون
STATUS OFFENDERS,"Youths charged with being beyond the control of their legal guardian or who are habitually disobedient, truant from school, or have committed other acts that would not be a crime if committed by an adult. They are not delinquents, but are persons in need of supervision, minors in need of supervision, or children in need of supervision, depending on the state in which they live. Status offenders are placed under the supervision of the juvenile court. (See PERSON IN NEED OF SUPERVISION).",الأحداث الخارجون عن السيطرة - أحداث يتهمون بأنهم خارجون عن سيطرة ولي أمرهم، أو يتسمون بعدم الانضباط أو يعتبرون قاطعي دروس، أو قد يرتكبون أفعالا أخرى لا تعد جريمة لو ارتكبها بالغ. هؤلاء ليسوا جانحين، ولكنهم أشخاص بحاجة إلى رعاية، أو قاصرون بحاجة إلى رعاية، أو أطفال بحاجة إلى رعاية حسب الولاية التي يعيشون فيها. يوضع الأحداث الخارجون عن السيطرة تحت إشراف محكمة الأحداث. (انظر: شخص بحاجة إلى رعاية).,الأحداث الخارجون عن السيطرة
STATUTE,A law passed by Congress or a state legislature.,قانون - قانون وافق عليه الكونجرس أو المجلس التشريعي الولائي.,قانون
STATUTE OF LIMITATIONS,A law that says how much time you have to file a lawsuit after something happens.,قانون التقادم - قانون يُحدد المدة الزمنية المتاحة لرفع دعوى قضائية، بعد وقوع حادث ما في القضية.,قانون التقادم
STATUTORY,"Relating to a statute; created, defined, or required by a statute.",تشريعي - له علاقة بالقانون أو تم تعريفه أو يتطلب طبق القانون.,تشريعي
STATUTORY ACTIONS,"Actions relating or conforming to, or created, defined, or required by a statute.",إجراءات تشريعية - أفعال لها علاقة، أو يتطابق، أو يتم إنشاؤها أو تعريفها أو تتطلب طبقاً للقانون.,إجراءات تشريعية
STATUTORY CONSTRUCTION,Process by which a court seeks to interpret the meaning and scope of legislation.,التأويل التشريعي - عملية يسعى من خلالها المحكمة لتفسير معنى ونطاق التشريعات.,التأويل التشريعي
STATUTORY LAW,"Law enacted by the legislative branch of government, as distinguished from CASE LAW or COMMON LAW.",القانون التشريعي - قانون صادر عن السلطة التشريعية في الحكومة، يُميز عن القانون العام أو القانون العرفي.,القانون التشريعي
STATUTORY RAPE,"The unlawful sexual intercourse with a person under an age set by statute, regardless of whether they consent to the act.",جريمة الاعتداء الجنسي بناءً على قانون كتب - الاتصال الجنسي غير القانوني مع شخص تحت سن محددة بموجب القانون، بغض النظر عن موافقته.,جريمة الاعتداء الجنسي
STAY,The act of stopping a judicial proceeding by order of the court.,يعلق - إيقاف إجراء قضائي بأمر من المحكمة.,يعلق
STAY OF EXECUTION,"An order that prevents the execution of an action, e.g., the serving of a sentence. The stay may be granted on a motion by the defendant, or it may be ordered in accordance with statutory law, e.g., Calif. Penal Code Section 654.",إيقاف التنفيذ - أمر يمنع تنفيذ عمل ما، مثل تنفيذ حكم. يمكن منح الإيقاف بناءً على طلب المدعى عليه أو يأمر به بموجب قانون تشريعي، مثل مادة 654 من قانون العقوبات بكاليفورنيا.,إيقاف التنفيذ
STIPULATE,To agree to something.,يلتزم - بالاتفاق على شيء.,يلتزم
STRICT LIABILITY,A concept applied by courts in product liability cases in which a seller is responsible for any and all defective or hazardous products which unduly threaten a consumer’s personal safety.,المسؤولية المطلقة - مفهوم يطبق في قضايا مسؤولية المنتجات، حيث يكون البائع مسؤولاً عن أي وجميع المنتجات التالفة أو الخطرة التي تهدد بشكل غير عادل سلامة المستهلك الشخصية.,المسؤولية المطلقة
CIVIL PROCEDURE,"The rules and process by which a civil case is tried and appealed, including the preparations for trial, the rules of evidence and trial conduct, and the procedure for pursuing appeals.",إجراءات مدنية - الإجراءات والأحكام التي تتبع في محاكمة القضايا المدنية واستئنافها، بما في ذلك تحضيرات المحاكمة وأحكام الإثبات والسلوك في المحاكمة، والإجراءات التي تتبع في الاستئناف.,إجراءات مدنية
CIVIL PROCESS,Court papers that tell the people in a civil case that it has started. Or papers that try to force the court to reach a judgment.,إجراءات مدنية -الأوراق القضائية التي تُبلغ الأطراف في القضية المدنية بأن الإجراءات قد بدأت. أو الأوراق التي تحاول إجبار المحكمة على إصدار حكم.,إجراءات مدنية
CIVIL RIGHTS VIOLATIONS,"Violations of the personal, natural rights guaranteed and protected by the Constitution.",انتهاكات حقوق مدنية - الانتهاكات للحقوق الشخصية الطبيعية، والتي يضمنها ويحميها الدستور.,انتهاكات حقوق مدنية
CLAIM,The statement of a right to money or property.,ادعاء - التصريح بحق في المال أو الملكية.,ادعاء
CLAIM OF EXEMPTION,"A court paper filed by the judgment debtor that lists each piece of property that the judgment debtor claims is an exempt asset under certain provisions of the law, and therefore, can’t be taken to pay the JUDGMENT.",دعوى اعفاء - ورقة قضائية يقدمها المدين الصادر بحقه حكم يُدرج تحته كل قطعة من ممتلكاته التي يدّعي بأنها تعتبر أصل معفى تحت بنود معينة في القانون، وبالتالي لا يمكن أن تؤخذ لتغطية الحكم القضائي.,دعوى اعفاء
CLAIM SPLITTING,When you split up a civil claim and file two lawsuits to stay below the limit of how much money you can ask for. Not allowed in most cases.,تجزئة الدعوى - عندما تنقسم دعوى مدنية وترفع دعويتين قضائيتين لتظل تحت الحد المسموح به للمطالبة بالمال. غير مسموح به في أغلب الحالات.,تجزئة الدعوى
CLASS ACTION,A lawsuit brought by one or more persons on behalf of a larger group.,دعوى جماعية - دعوى قضائية تُرفع بواسطة شخص واحد أو أكثر نيابة عن مجموعة أكبر من الأشخاص.,دعوى جماعية
CLEAR AND CONVINCING EVIDENCE,Standard of proof commonly used in civil lawsuits and in regulatory agency cases. It governs the amount of proof that must be offered in order for the plaintiff to win the case.,أدلة واضحة ومقنعة - معيار الإثبات الذي يستخدم عادة في دعاوى المحاكمة المدنية وفي قضايا الهيئات التنظيمية. يحكم كمية الأدلة التي يجب تقديمها من أجل فوز المدعي بالقضية.,أدلة واضحة ومقنعة
CLEMENCY OR EXECUTIVE CLEMENCY,"Act of mercy by the president or governor to ease the consequences of a criminal act, accusation, or conviction. It may take the form of commutation or pardon.",عفو تنفيذي - تصرف يعبر عن رحمة من الرئيس أو الحاكم لتخفيف العواقب الناتجة عن فعل جنائي، اتهام، أو إدانة. قد يأخذ شكل تخفيف العقوب أو العفو.,عفو تنفيذي
CLERICAL ERROR,"An unintentional mistake, in writing, which may be made by clerk, counsel, or court. (See NUNC PRO TUNC.)",خطأ كتابي - خطأ غير مقصود قد يكون صادر عن حجر، محامي، أو محكمة. (انظر نانك برو تانك.),خطأ كتابي
CLERK,"Officer of the court who files pleadings, motions, judgments, etc., issues process, and keeps records of court proceedings.",كاتب المحكمة. - موظف الهيئة القضائية، يقدم الأوراق القضائية والالتماسات والأحكام، ويصدر الإجراءات القضائية ويحتفظ بسجلات القضايا.,كاتب المحكمة
CLERK'S TRANSCRIPT,"Those pleadings, minute orders, affidavits, written opinions of the Court, trial exhibits, etc., designated by the attorneys which have been filed during the course of the litigation process are put together with the appeal documents and collectively form the Clerk’s Transcript.",سجل الكاتب - تلك الالتماسات، الأوامر الفورية، اليمين الخطية، آراء المحكمة الكتابية، الاستعراضات التي تعرض أثناء المحاكمة، إلخ، التي حددها المحامون وتم تقديمها خلال مجريات العملية القضائية، تجمع مع وثائق الاستئناف وتشكل مجتمعة سجل كاتب المحكمة.,سجل الكاتب
INDEMNITY,"An obligation to provide compensation (usually money) for a loss, hurt or damage.",التزام بالتعويض، وغالبًا المالي، عن خسارة أو أذى أو ضرر.,التعويض
INDEPENDENT EXECUTOR,"A special kind of executor, permitted by the laws of certain states, who performs the duties of an executor without intervention by the court.",نوع خاص من المنفذين، يسمح به قوانين بعض الولايات، يؤدي وظائف منفذ من دون تدخل من المحكمة.,المنفذ المستقل
INDETERMINATE SENTENCE,"A sentence of imprisonment to a specified minimum and maximum period of time, specifically authorized by statute, subject to termination by a parole board or other authorized agency after the prisoner has served the minimum term.",حكم بالسجن لمدة دنيا وعليا محددة بقانون، ويخضع للإنهاء من قبل لجنة الإفراج المشروط أو جهة مرخصة بعد أن يقضي السجين المدة الدنيا.,الحكم غير المحدد
INDIAN CHILD WELFARE ACT (ICWA),Federal law to protect the integrity of Indian families.,قانون فدرالي لحماية الأمان الأسري للهنود.,قانون رعاية الطفل الهندي
INDICTMENT,A formal charge by a grand jury saying there is enough evidence that the defendant committed the crime to justify having a trial. Used primarily for felonies.,لائحة اتهام، رسمية تصدرها هيئة محلفين تدعي بأن هناك دليلا كافيا يبرر محاكمة المتهم بارتكاب الجريمة. تستخدم أساسا للجرائم الكبيرة.,لائحة اتهام
INDIGENT,"A person who is poor, needy, and has no one to look to for support.",فقير - شخص فقير، محتاج، وليس لديه من يدعمه.,معدم
INDIVIDUAL EDUCATION PLAN (IEP),Plan for a student who is entitled to special education services.,خطة تعليمية فردية - خطط تعليمية للطلاب المؤهلين للحصول على خدمات تعليمية خاصة.,خطة تعليمية فردية
INDORSEMENT,"That which is written on the back of a negotiable instrument. It is also used with reference to writs, insurance policies, certificates of stocks, etc.","توقيع - ما يكتب على ظهر السند التجاري ليقال السند لشخص آخر أو الأوراق التفاوضية، بالإضافة إلى الأوراق القانونية, بوليصات التأمين، وغيرها.",التظهير
IN FORMA PAUPERIS,"When the court says a person does not have to pay a filing fee because the person can't afford it. In Latin, means ""in the manner of a pauper.""","عندما تقرر المحكمة بأن شخص لا يحتاج إلى دفع رسم قضائي تأسيسا على أن الشخص لا يملك ما يدفع به، في اللاتينية، تعني ""على طريقة الفقير"".",قاصر ماليا - معسر
INFORMANT,"An undisclosed person who confidentially discloses material information of a crime to the police, which is usually done in exchange for a reward or special treatment.",مخبر - شخص غير معروف يفصح سرا عن معلومات مادية للشرطة، عادة ما يتم مقابل مكافأة أو معاملة خاصة.,عميل
INFORMATION,A written accusation charging a person with a crime. It is presented in court by a prosecuting officer under oath and does not come from a grand jury.,أخبارية - نص مكتوب يتهم شخص بارتكاب جريمة، تقدم في المحكمة عن طريق عضو الادعاء، عادة تحت القسم ولا تأتي من هيئة محلفين كبير.,معلومات
INFRACTION,"A minor violation of a law, contract, or right that is not a misdemeanor or a felony and can't be punished by time in prison. Minor traffic offenses are generally considered infractions.",مخالفة - أقل أشكال الانتهاك للقانون أو العقد أو الحق الذي لا يعتبر جنحة أو جناية، ولا يعاقب عليها بالسجن. مخالفات المرور البسيطة تعتبر عموما مخالفات.,المخالفة
JUDICIAL OFFICER,"Judges, referees, and commissioners who make court decisions as a judge.",قضاة، حكام، ومفوضون يقررون الحكم كقاض.,ضابط قضائي
JUDICIAL REVIEW,"The authority of a court to review the official actions of other branches of government. Also, the authority to declare unconstitutional the actions of other branches.",سلطة المحكمة في مراجعة الإجراءات الرسمية لأغصن الحكومة الأخرى. كذلك، السلطة في اعتبار إجراءات الأغصن الأخرى للحكومة غير دستورية.,مراجعة قضائية
JURAT,"Certificate of officer or person before whom writing was sworn to. The clause written at the foot of an affidavit stating where, when, and before whom the affidavit was sworn.",وثيقة الضابط أو الشخص الذي أقسم أمامه الكتاب. بند مكتوب في نهاية الإفادة يشير إلى أين ومتى وأمام من أقسمت الإفادة.,شهادة حلف اليمين
JURISDICTION,"(1) The legal authority of a court to hear and decide a case. (2) The geographic area over which the court has authority to decide cases. (3) The territory, subject matter, or persons over which lawful authority may be exercised by a court.",(1) سلطة محكمة قانونية لسماع وحكم في قضية. (2) المنطقة الجغرافية التي للمحكمة السلطة على تحكيم القضايا فيها. (3) الإقليم، أمور الموضوع، أو الأشخاص التي يمكن ممارسة السلطة القانونية عليها بواسطة محكمة.,اختصاص
JURISDICTIONAL HEARINGS,A hearing at which the court determines whether the child falls within the jurisdiction of the juvenile court.,جلسة استماع يحدد فيها المحكمة إذا كان الطفل يقع تحت اختصاص محكمة الأحداث.,جلسات اختصاصية
JURISPRUDENCE,The study of law and the structure of the legal system.,دراسة القانون وبنية النظام القانوني.,فقه القانون
JUROR,Member of the jury.,عضو في هيئة المحلفين.,هيئة المحلفين
"JUROR, ALTERNATE",Additional juror impaneled in case of sickness or disability of another juror.,عضو إضافي في هيئة المحلفين - عضو مستدعى في حالة مرض أو عجز أحد أعضاء هيئة المحلفين.,عضو بديل في هيئة المحلفين
